,user_name,user_nfollower,user_total_likes,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality
997,mecunmiu06,281.7K,9.4M,7519785501134540050,Chọn tăm nước MAGIC chính là lựa chọn sáng suốt của mình. Hiện đang có ưu đãi các bác tham khảo mua liền nhé,2025-06-25 14:28:18+07:00,2025-06-26 20:40:08+07:00,00:00,145.4K,1127,43,12,13,"mecunmiu06, magicvietnam, magickorea, dogiadunghanquoc, tamnuocmagic",https://www.tiktok.com/@mecunmiu06/video/7519785501134540050,7.519785618386275e+18,nhạc nền - ☘️☘️ Xuan Nguyen's family ☘️☘️,1 videos,☘️☘️ Xuan Nguyen's family ☘️☘️,True
998,mecunmiu06,281.7K,9.4M,7519785501134540050,Chọn tăm nước MAGIC chính là lựa chọn sáng suốt của mình. Hiện đang có ưu đãi các bác tham khảo mua liền nhé,2025-06-25 14:28:18+07:00,2025-06-27 02:10:52+07:00,00:00,145.5K,5128,43,119,13,"mecunmiu06, magicvietnam, magickorea, dogiadunghanquoc, tamnuocmagic",https://www.tiktok.com/@mecunmiu06/video/7519785501134540050,7.519785618386275e+18,nhạc nền - ☘️☘️ Xuan Nguyen's family ☘️☘️,1 videos,☘️☘️ Xuan Nguyen's family ☘️☘️,True
999,mecunmiu06,281.7K,9.4M,7519854219109731591,Wow nay có viên giặt OMO có túi 50v rồi chị em ơi,2025-06-25 18:54:58+07:00,2025-06-26 18:12:37+07:00,01:10,119.8K,5588,83,7,313,"mecunmiu06, newarrivalweek, summernaw, turnuptheheat, hoptaccungunilever",https://www.tiktok.com/@mecunmiu06/video/7519854219109731591,7.519854579677613e+18,nhạc nền - ☘️☘️ Xuan Nguyen's family ☘️☘️,1 videos,☘️☘️ Xuan Nguyen's family ☘️☘️,True
1000,mecunmiu06,281.7K,9.4M,7519854219109731591,Wow nay có viên giặt OMO có túi 50v rồi chị em ơi,2025-06-25 18:54:58+07:00,2025-06-26 20:39:50+07:00,01:10,119.8K,5588,83,7,313,"mecunmiu06, newarrivalweek, summernaw, turnuptheheat, hoptaccungunilever",https://www.tiktok.com/@mecunmiu06/video/7519854219109731591,7.519854579677613e+18,nhạc nền - ☘️☘️ Xuan Nguyen's family ☘️☘️,1 videos,☘️☘️ Xuan Nguyen's family ☘️☘️,True
1001,mecunmiu06,281.7K,9.4M,7519854219109731591,Wow nay có viên giặt OMO có túi 50v rồi chị em ơi,2025-06-25 18:54:58+07:00,2025-06-27 02:10:36+07:00,01:10,120.9K,5588,83,262,313,"mecunmiu06, newarrivalweek, summernaw, turnuptheheat, hoptaccungunilever",https://www.tiktok.com/@mecunmiu06/video/7519854219109731591,7.519854579677613e+18,nhạc nền - ☘️☘️ Xuan Nguyen's family ☘️☘️,1 videos,☘️☘️ Xuan Nguyen's family ☘️☘️,True
1002,mehanaxinh,515.8K,5.8M,7493528190497983752,"Giá mà em biết đến cái màn vừa chống muỗi vừa chống ngã này sớm hơn thì có phải tốt hơn ko 😭 bác nào với mà có bé nhỏ thì tham khảo liền nha,  không cần phải mua thanh chắn giường nữa #",2025-04-15 20:16:31+07:00,2025-06-25 20:00:54+07:00,00:00,216.4K,10.3K,130,14,23,"manchongmuoi, manchongnga, medoga, learnontiktok, muataitiktok, xuhuong, fyp, capcut",https://www.tiktok.com/@mehanaxinh/video/7493528190497983752,7.493528332086152e+18,nhạc nền - MẸ HANA XINH,1 videos,MẸ HANA XINH,True
1003,mehanaxinh,515.8K,5.8M,7493528190497983752,"Giá mà em biết đến cái màn vừa chống muỗi vừa chống ngã này sớm hơn thì có phải tốt hơn ko 😭 bác nào với mà có bé nhỏ thì tham khảo liền nha,  không cần phải mua thanh chắn giường nữa #",2025-04-15 20:16:31+07:00,2025-06-26 20:43:58+07:00,00:00,216.4K,10.3K,130,14,23,"manchongmuoi, manchongnga, medoga, learnontiktok, muataitiktok, xuhuong, fyp, capcut",https://www.tiktok.com/@mehanaxinh/video/7493528190497983752,7.493528332086152e+18,nhạc nền - MẸ HANA XINH,1 videos,MẸ HANA XINH,True
1004,mehanaxinh,515.8K,5.8M,7493528190497983752,"Giá mà em biết đến cái màn vừa chống muỗi vừa chống ngã này sớm hơn thì có phải tốt hơn ko 😭 bác nào với mà có bé nhỏ thì tham khảo liền nha,  không cần phải mua thanh chắn giường nữa #",2025-04-15 20:16:31+07:00,2025-06-27 02:39:18+07:00,00:00,216.4K,10.3K,130,14,23,"manchongmuoi, manchongnga, medoga, learnontiktok, muataitiktok, xuhuong, fyp, capcut",https://www.tiktok.com/@mehanaxinh/video/7493528190497983752,7.493528332086152e+18,nhạc nền - MẸ HANA XINH,1 videos,MẸ HANA XINH,True
1005,mei.mei.oi,222K,5.2M,7513476013561482503,Máy bạn có nằm trong danh sách không?,2025-06-08 14:24:16+07:00,2025-06-25 00:45:38+07:00,,6278,92,24,10,9,"learnontiktok, thanhcongnghe, oneui8, samsung",https://www.tiktok.com/@mei.mei.oi/photo/7513476013561482503,7.431510601421508e+18,nhạc nền - Góc Nhà Tiện Lợi,198.6K videos,Góc Nhà Tiện Lợi,False
1006,mei.mei.oi,222K,5.2M,7513476013561482503,Máy bạn có nằm trong danh sách không?,2025-06-08 14:24:16+07:00,2025-06-25 22:35:52+07:00,,6389,94,26,10,9,"learnontiktok, thanhcongnghe, oneui8, samsung",https://www.tiktok.com/@mei.mei.oi/photo/7513476013561482503,7.431510601421508e+18,nhạc nền - Góc Nhà Tiện Lợi,199.2K videos,Góc Nhà Tiện Lợi,False
1007,mei.mei.oi,222K,5.2M,7513476013561482503,Máy bạn có nằm trong danh sách không?,2025-06-08 14:24:16+07:00,2025-06-26 23:22:01+07:00,,6489,95,26,11,9,"learnontiktok, thanhcongnghe, oneui8, samsung",https://www.tiktok.com/@mei.mei.oi/photo/7513476013561482503,7.431510601421508e+18,nhạc nền - Góc Nhà Tiện Lợi,200.1K videos,Góc Nhà Tiện Lợi,False
1008,meimei8866,404.2K,1.3M,7497174155058629889,Bí quyết chăm sóc da của Quỳnh với combo 3 bước. Các bạn đừng bỏ qua nhé,2025-04-25 16:04:44+07:00,2025-06-25 09:46:03+07:00,00:00,248.8K,6945,50,Share,1115,"chammundrleo, drleo, drleovn, beautytok, chammun, skincare, combo3, suaruamat, claymask, matnadatset",https://www.tiktok.com/@meimei8866/video/7497174155058629889,7.497174285585337e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1009,meimei8866,404.2K,1.3M,7497174155058629889,Bí quyết chăm sóc da của Quỳnh với combo 3 bước. Các bạn đừng bỏ qua nhé,2025-04-25 16:04:44+07:00,2025-06-26 00:57:42+07:00,00:00,0,6945,50,Share,1115,"chammundrleo, drleo, drleovn, beautytok, chammun, skincare, combo3, suaruamat, claymask, matnadatset",https://www.tiktok.com/@meimei8866/video/7497174155058629889,7.497174285585337e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1010,meimei8866,404.1K,1.3M,7497174155058629889,Bí quyết chăm sóc da của Quỳnh với combo 3 bước. Các bạn đừng bỏ qua nhé,2025-04-25 16:04:44+07:00,2025-06-27 13:02:21+07:00,00:00,248.8K,6945,50,Share,1115,"chammundrleo, drleo, drleovn, beautytok, chammun, skincare, combo3, suaruamat, claymask, matnadatset",https://www.tiktok.com/@meimei8866/video/7497174155058629889,7.497174285585337e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1011,meimei8866,404.2K,1.3M,7497227480244243713,"Cùng Quỳnh chăm sóc tóc khỏe, đẹp, mượt mà nha",2025-04-25 19:31:39+07:00,2025-06-25 09:45:41+07:00,00:00,168.1K,2389,58,1,1,"daugoi, daugoiduoclieu, daugoiancung, ancung, tocdepcungdinh",https://www.tiktok.com/@meimei8866/video/7497227480244243713,7.497227548020002e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1012,meimei8866,404.2K,1.3M,7497227480244243713,"Cùng Quỳnh chăm sóc tóc khỏe, đẹp, mượt mà nha",2025-04-25 19:31:39+07:00,2025-06-26 00:57:27+07:00,00:00,168.1K,2389,58,1,1,"daugoi, daugoiduoclieu, daugoiancung, ancung, tocdepcungdinh",https://www.tiktok.com/@meimei8866/video/7497227480244243713,7.497227548020002e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1013,meimei8866,404.1K,1.3M,7497227480244243713,"Cùng Quỳnh chăm sóc tóc khỏe, đẹp, mượt mà nha",2025-04-25 19:31:39+07:00,2025-06-27 13:02:06+07:00,00:00,168.1K,2389,58,1,1,"daugoi, daugoiduoclieu, daugoiancung, ancung, tocdepcungdinh",https://www.tiktok.com/@meimei8866/video/7497227480244243713,7.497227548020002e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1014,meimei8866,404.2K,1.3M,7497286049123585281,Làm đẹp cùng Quỳnh nhé,2025-04-25 23:18:56+07:00,2025-06-25 09:45:22+07:00,01:07,318.4K,4391,83,Share,478,"vienthammyquoctekorea, so8ngo48, tamtranghanquoc, taynotruoi, tamtrang, giambeo, dongbanglaohoa, lamdep",https://www.tiktok.com/@meimei8866/video/7497286049123585281,7.497286117214047e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1015,meimei8866,404.2K,1.3M,7497286049123585281,Làm đẹp cùng Quỳnh nhé,2025-04-25 23:18:56+07:00,2025-06-26 00:57:13+07:00,01:07,318.4K,4391,83,Share,478,"vienthammyquoctekorea, so8ngo48, tamtranghanquoc, taynotruoi, tamtrang, giambeo, dongbanglaohoa, lamdep",https://www.tiktok.com/@meimei8866/video/7497286049123585281,7.497286117214047e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1016,meimei8866,404.1K,1.3M,7497286049123585281,Làm đẹp cùng Quỳnh nhé,2025-04-25 23:18:56+07:00,2025-06-27 13:01:52+07:00,00:00,318.4K,4391,83,Share,478,"vienthammyquoctekorea, so8ngo48, tamtranghanquoc, taynotruoi, tamtrang, giambeo, dongbanglaohoa, lamdep",https://www.tiktok.com/@meimei8866/video/7497286049123585281,7.497286117214047e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1017,meimei8866,404.2K,1.3M,7497478978685488400,"Cùng Quỳnh khám phá BYD SEALION 6 hiện đại, mới mẻ, cực chất nhé.",2025-04-26 11:47:36+07:00,2025-06-25 09:45:12+07:00,01:55,374.8K,6844,104,2,12,"bydsealion6, bydvietnam, dmisuperhybrid",https://www.tiktok.com/@meimei8866/video/7497478978685488400,7.497479442248289e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1018,meimei8866,404.2K,1.3M,7497478978685488400,"Cùng Quỳnh khám phá BYD SEALION 6 hiện đại, mới mẻ, cực chất nhé.",2025-04-26 11:47:36+07:00,2025-06-26 00:57:03+07:00,01:55,374.8K,6844,104,2,12,"bydsealion6, bydvietnam, dmisuperhybrid",https://www.tiktok.com/@meimei8866/video/7497478978685488400,7.497479442248289e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
1019,meimei8866,404.1K,1.3M,7497478978685488400,"Cùng Quỳnh khám phá BYD SEALION 6 hiện đại, mới mẻ, cực chất nhé.",2025-04-26 11:47:36+07:00,2025-06-27 13:01:42+07:00,00:00,374.8K,6844,104,2,12,"bydsealion6, bydvietnam, dmisuperhybrid",https://www.tiktok.com/@meimei8866/video/7497478978685488400,7.497479442248289e+18,nhạc nền - 💜 Thu Quỳnh Nguyễn 💜,1 videos,🇻🇳 Thu Quỳnh Nguyễn 🇻🇳,True
