Unnamed: 0,user_name,user_nfollower,user_total_likes,vid_id,vid_caption,vid_postTime,vid_scrapeTime,vid_duration,vid_nview,vid_nlike,vid_ncomment,vid_nshare,vid_nsave,vid_hashtags,vid_url,music_id,music_title,music_nused,music_authorName,music_originality,vid_desc_clean,vid_hashtags_normalized,hashtag_count,vid_duration_sec,vid_existtime_hrs,post_hour,post_day
0,2chijbell,45900.0,826800.0,7520120196040854792,"Thử đi mấy bà, khác hẳn style thường ngày của mấy bà luôn",2025-06-26 19:07:05+07:00,2025-06-28 08:36:22+07:00,00:15,1200000.0,22200.0,276,269.0,771.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520120196040854792,7.507970572563811e+18,nhạc nền - 𝙋𝙧𝙚𝙨𝙨𝙤𝙪𝙣𝙙,15200.0,𝙋𝙧𝙚𝙨𝙨𝙤𝙪𝙣𝙙,False,"Thử đi mấy , hẳn style thường_ngày mấy","['ootd', 'viral', '2chijbell']",3,15.0,37.488055555555555,19,Thursday
1,2chijbell,47200.0,856400.0,7520120196040854792,"Thử đi mấy bà, khác hẳn style thường ngày của mấy bà luôn",2025-06-26 19:07:05+07:00,2025-06-30 06:04:27+07:00,00:15,1700000.0,31400.0,329,379.0,1083.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520120196040854792,7.507970572563811e+18,nhạc nền - 𝙋𝙧𝙚𝙨𝙨𝙤𝙪𝙣𝙙,16100.000000000002,𝙋𝙧𝙚𝙨𝙨𝙤𝙪𝙣𝙙,False,"Thử đi mấy , hẳn style thường_ngày mấy","['ootd', 'viral', '2chijbell']",3,15.0,82.95611111111111,19,Thursday
2,2chijbell,47700.0,866400.0,7520120196040854792,"Thử đi mấy bà, khác hẳn style thường ngày của mấy bà luôn",2025-06-26 19:07:05+07:00,2025-07-01 14:14:48+07:00,00:15,1800000.0,32400.0,347,401.0,1108.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520120196040854792,7.507970572563811e+18,Unknown,,Unknown,False,"Thử đi mấy , hẳn style thường_ngày mấy","['ootd', 'viral', '2chijbell']",3,15.0,115.12861111111111,19,Thursday
3,2chijbell,45900.0,826800.0,7520243736245243144,Tốp 1 em áo phải có trong tủ đồ mấy bà uii,2025-06-27 03:06:29+07:00,2025-06-28 08:36:06+07:00,00:12,11300.0,283.0,13,8.0,15.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520243736245243144,7.484144027546291e+18,tien dat,6083.0,tien dat,False,Tốp 1 áo tủ đồ mấy uii,"['ootd', 'viral', '2chijbell']",3,12.0,29.49361111111111,3,Friday
4,2chijbell,47200.0,856400.0,7520243736245243144,Tốp 1 em áo phải có trong tủ đồ mấy bà uii,2025-06-27 03:06:29+07:00,2025-06-30 06:04:02+07:00,00:12,16500.0,337.0,14,15.0,21.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520243736245243144,7.484144027546291e+18,tien dat,6093.0,tien dat,False,Tốp 1 áo tủ đồ mấy uii,"['ootd', 'viral', '2chijbell']",3,12.0,74.95916666666666,3,Friday
5,2chijbell,47700.0,866400.0,7520243736245243144,Tốp 1 em áo phải có trong tủ đồ mấy bà uii,2025-06-27 03:06:29+07:00,2025-07-01 14:14:24+07:00,00:12,17900.0,353.0,14,16.0,23.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520243736245243144,7.484144027546291e+18,Unknown,,Unknown,False,Tốp 1 áo tủ đồ mấy uii,"['ootd', 'viral', '2chijbell']",3,12.0,107.13194444444444,3,Friday
6,2chijbell,45900.0,826800.0,7520462147856387336,Outfits ideas đơn giản mà siêu cháy,2025-06-27 17:14:02+07:00,2025-06-28 08:35:50+07:00,00:17,21300.0,704.0,35,20.0,56.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520462147856387336,7.148822645599964e+18,nhạc nền - Phạm Thanh Nhã ( PTN ),20000.0,Phạm Thanh Nhã ( PTN ),False,Outfits ideas đơn_giản siêu cháy,"['ootd', 'viral', '2chijbell']",3,17.0,15.363333333333333,17,Friday
7,2chijbell,47200.0,856400.0,7520462147856387336,Outfits ideas đơn giản mà siêu cháy,2025-06-27 17:14:02+07:00,2025-06-30 06:03:35+07:00,00:17,53200.0,1414.0,138,54.0,127.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520462147856387336,7.148822645599964e+18,nhạc nền - Phạm Thanh Nhã ( PTN ),20000.0,Phạm Thanh Nhã ( PTN ),False,Outfits ideas đơn_giản siêu cháy,"['ootd', 'viral', '2chijbell']",3,17.0,60.825833333333335,17,Friday
8,2chijbell,47700.0,866400.0,7520462147856387336,Outfits ideas đơn giản mà siêu cháy,2025-06-27 17:14:02+07:00,2025-07-01 14:14:03+07:00,00:17,58100.0,1518.0,168,59.0,140.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520462147856387336,7.148822645599964e+18,nhạc nền - Phạm Thanh Nhã ( PTN ),20000.0,Phạm Thanh Nhã ( PTN ),False,Outfits ideas đơn_giản siêu cháy,"['ootd', 'viral', '2chijbell']",3,17.0,93.00027777777778,17,Friday
9,2chijbell,45900.0,826800.0,7520490182991187218,Đi biển thì nên mặc auto màu trắng để có ảnh xinh mang về nha mấy bà uii,2025-06-27 19:02:49+07:00,2025-06-28 08:35:34+07:00,00:13,7697.0,242.0,27,15.0,9.0,"ootd, viral, 2chijbell",https://www.tiktok.com/@2chijbell/video/7520490182991187218,7.402251592478543e+18,nhạc nền - nhim ₍ ᐢ.ˬ.ᐢ₎˚୨୧,2595.0,nhím ₍ ᐢ.ˬ.ᐢ₎˚୨୧,False,Đi biển mặc auto màu trắng ảnh xinh nha mấy uii,"['ootd', 'viral', '2chijbell']",3,13.0,13.545833333333333,19,Friday
