user_name,user_avg_view_growth,user_avg_like_growth,user_avg_comment_growth,user_avg_share_growth,user_avg_engagement_growth,user_avg_engagement_rate_change
_meowmeow18_,-463.65157533771526,0.004807324135178842,0.001244228163795726,0.0,0.006051552298974567,0.2507325964981164
_thanhdung85,0.35219535102134275,0.0,0.0,0.0,0.0,-2.4432304578676093e-07
aloynhunghe,81.50170847444913,2.649426476468337,0.0024403828447018584,0.0,2.657933711276317,-4.905949914619984e-05
amypham2159,45.52733915446406,1.42677146191305,0.0,0.9738422323180732,2.4019001804085436,-3.5661655983115744e-05
annaphuonghang_,0.23915934592964722,0.0010504079084044304,0.0,0.0,0.0010504079084044304,-0.00017638086962990922
apinvy,167.34155114669767,10.191176443602108,0.02957957783113811,0.23512514301130535,10.77810114921036,-0.0001928013199954217
baongoc85review,101.34875755014316,0.6341939415633348,0.024992816494180857,0.0031241080865188906,0.667072725360505,-0.04112410722364921
becunreview12,0.22054445937852893,0.001389424932458509,0.0,0.0,0.001389424932458509,-0.00016996111826458757
billreview_0105,3.522553105248547,0.06017299530788547,0.0,0.0,0.06637715347255761,9.961737454207358e-05
bon.yeume,0.16054245401068884,0.002913281325866713,0.0,0.0,0.002913281325866713,-1.1831063671677083e-05
bounreview,14.444297972204438,0.04318509454363059,0.006132444447049356,0.0034964966461133356,0.05631074960675819,-0.0005942952367823565
buithuytrangne,168.70221068731757,3.751693198333173,0.09623575958174911,0.016083139786890476,3.951779838242996,-0.00024069409245315313
cakhongmap,486.3573505181237,8.741266838211912,0.06193430685654685,0.6027852224369123,10.11748953562931,-5.330638682429019e-05
camquayphim,10.616921230597743,0.5221195044585291,0.0011471397981033975,0.03826503172171798,0.765287975814042,1.6760526915124934e-05
chanhealthy,33.16765609214148,4.319315980922915,-0.06617566768111369,0.16435269458303914,4.514761753318523,-1.4228089743231406e-05
chinchin980322,2.5232283856381317,0.05872033876758535,0.034655753198978484,0.012343283777704614,0.10914354068063785,-0.006167252103477803
chowunboxing,0.0,0.0,0.0,0.0,0.0,0.0
chucaofood,0.8739194104747947,0.0061404139587754565,-0.0011807304785894294,0.005197095577689358,0.016297193016650842,-2.2313269729147085e-06
chukatureview,80.46007132839378,5.02183472415752,0.012178244028288286,0.04135932310365772,5.0769567568426615,0.0003132874598304764
crushing.crunchy_,265.59196291961234,7.917399596808385,0.3605078966829139,2.1394689610285798,10.567702365117775,0.0037117309106902753
dangminhreview,106.09777209493492,2.628725280665285,0.01905514484234947,0.1729974920810426,2.975795358659065,0.0005245910858250612
danphuongreview,-73.84175666224768,-0.6734622347821159,0.0,0.003264286291241557,-0.6691099446997854,0.001002259408596629
daophantutrinh,142.30530591484492,2.623609344916549,0.0011167775681390553,0.001186114552307652,2.697079110175455,-0.003257364401363123
decor_pc,0.02592969282946897,-0.0011497336450388659,0.0,0.0,-0.0011497336450388659,-1.9973325747055006e-06
do.hoang.quan,12.642254631667798,0.6313645045117584,0.004013614443304117,0.10974546397171259,0.9772713223922498,-0.00011239622215445057
dt.hacks,0.3079815483999527,0.001241054068588933,0.0,0.0,-0.11995358556678677,-2.05303309845045e-06
dtuanh02,0.47259512657930547,0.009095726762671903,0.005042087424193616,0.0,0.014137814186865522,0.000251771110840042
ducdongian.rv,0.36303328449941763,0.004886195392101519,0.0,0.0011872254541137359,0.007329316578960627,2.939090480758211e-07
dungomachi,27.625704880749726,1.448919451588043,0.007292542099538568,0.143668124049678,1.6866762423098858,-2.355622597256489e-05
duongdeofficial,2185.3865006905535,48.5045582373303,0.8076657025710345,0.971714847375227,52.77883590139801,-0.00027184675153266337
gemsongnghe,1683.3942671099253,66.00516426939275,1.0609198616341855,2.1756380116319702,73.51815172678769,-0.00014543532840196488
giadinhduahau07,0.019472504743203535,0.0,0.0,0.0,0.0,-2.168350928719951e-05
giadinhmilkne,130.08133680213024,3.2643304947566802,0.0010096817258826304,0.07850789979133205,3.6559113660797804,-0.00013588357569873825
giadinhrisa,-370.62920202080153,-0.0569156460054784,0.061100500390694965,0.01315563768850558,0.028287654789247794,0.0008692531502492929
gialinhok,36.398040384644744,1.2395874053578992,0.03444676409185801,0.0,1.2876041068192772,0.00011447602345966059
giangruby37,10.860141404210646,0.06507543122109238,0.002469135804327582,0.013219428388717813,0.08476040936572453,-0.0013965844592607169
